BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
12829 BRANFORD ST,4.37E+11,145.5,COMPLIED,-27,-27,Not Available,No,Not Available,Not Available,Pari Enterprises,47378,Not Available,Not Available,3,95,Not Available,91331,2017,Multifamily Housing,49.3,93.4,5305.2,51.3,95.5,1987
6827 WOODLEY AVE,4.15E+11,44.1,COMPLIED,-53.9,-53.9,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",78700,Not Available,Not Available,1,100,Not Available,91406,2017,Self-Storage Facility,8,22,139.1,8.1,22.1,1987
6500 YUCCA ST,4.61E+11,215.9,COMPLIED,-18.3,-18.3,77,No,Not Available,Not Available,"Vert Energy Group, Inc.",93635,Not Available,Not Available,1,100,Not Available,90028,2017,Multifamily Housing,39.1,64.1,5932.7,40.2,65.2,1928
13259 RALSTON AVE,4.19E+11,37.4,COMPLIED,-85.6,-85.6,100,No,Not Available,Not Available,Three Hands Corp,127700,Not Available,Not Available,1,100,Not Available,91342,2017,Distribution Center,3.9,12.1,901.6,3.9,12.1,1974
6201 TOPANGA CANYON BLVD,3.78E+11,488.5,COMPLIED,-28.5,-28.5,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",110867,Not Available,Not Available,1,100,Not Available,91367,2017,Strip Mall,61.4,169.9,2632.4,61.4,169.9,1980
635 W DOWNEY WAY,1.12E+11,631.5,COMPLIED,8.1,8.1,Not Available,No,Not Available,Not Available,University of Southern California,105561,699.2,6.62,1,100,Not Available,90089,2017,College/University,94.8,195.2,699.2,92.8,189.7,2012
11099 S LA CIENEGA BLVD,4.49E+11,697.9,COMPLIED,-15.9,-15.9,64,No,Not Available,Not Available,Prologis,221194,Not Available,Not Available,1,100,Not Available,90045,2017,Distribution Center,41.7,130.2,3351.3,41.7,130.2,1994
350 S FIGUEROA ST,4.84E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,350 SOUTH FIGUEROA LLC,444158,Not Available,Not Available,1,70,Not Available,90071,2017,Office,Not Available,Not Available,3707.8,Not Available,Not Available,1974
5029 S VERMONT AVE,4.73E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Challengers Boys & Girls Club,54000,Not Available,Not Available,1,100,Not Available,90037,2017,Other,Not Available,Not Available,Not Available,Not Available,Not Available,1968
740 S OLIVE ST,4.84E+11,306.6,COMPLIED,97.2,97.2,Not Available,No,Not Available,Not Available,Related Management Company,40984,8047.2,196.35,1,100,Not Available,90014,2017,Multifamily Housing,113.6,252.3,8047.2,114.1,250.2,1922
661 N HARBOR BLVD,4.23E+11,355.8,COMPLIED,20.6,20.6,22,No,Not Available,Not Available,"Vert Energy Group, Inc.",102502,Not Available,Not Available,1,100,Not Available,90731,2017,Multifamily Housing,57.6,98.5,6811.8,58.1,98.3,1973
11505 W OLYMPIC BLVD,4.27E+11,24.4,COMPLIED,-33.5,-33.5,Not Available,No,Not Available,Not Available,ece_cola_gsd,8378,Not Available,Not Available,1,100,Not Available,90064,2017,Fire Station,43,102.6,357.6,43,99.3,2010
1824 N CAMPUS RD,4.99E+11,254.7,COMPLIED,-69.3,-69.3,Not Available,No,Not Available,Not Available,Occidental College,100662,3930.6,39.05,1,100,Not Available,90041,2017,College/University,39.6,80.7,3930.6,Not Available,Not Available,2008
510 W 6TH ST,4.85E+11,744.2,COMPLIED,-37.7,-37.7,86,No,Not Available,Not Available,6th & Olive Inc.,236758,2030.3,8.58,1,60,Not Available,90014,2017,Office,41.8,128.7,2030.3,40.7,125.3,1925
4929 WILSHIRE BLVD,4.59E+11,585,NOT COMPLIED,-1,-1,50,No,Not Available,Not Available,My Organization,165130,Not Available,Not Available,1,80,0,90010,2017,Office,53.1,128.6,2469.5,54.2,129.8,1973
1930 S SHELL AVE,4.22E+11,37,COMPLIED,-29.6,-29.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,11000,Not Available,Not Available,1,100,Not Available,90291,2017,Fire Station,52.4,108.7,303,53.7,108.6,2010
555 W 5TH ST,4.85E+11,5584.1,COMPLIED,-51.1,-51.1,94,No,10/25/2017,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Leading Edge Consulting Services LLC,1546011,Not Available,Not Available,1,100,6859.3,90013,2017,Office,53.4,127.2,6859.3,52.3,126.1,1991
11121 N SEPULVEDA BLVD,4.20E+11,436.7,COMPLIED,88,88,Not Available,No,Not Available,Not Available,ece_cola_gsd,54000,Not Available,Not Available,1,100,549.6,91345,2017,Police Station,118.3,290.2,1134,118.1,284.2,1990
18175 CHATSWORTH ST,4.02E+11,13.1,COMPLIED,-85.1,-85.1,Not Available,No,Not Available,Not Available,Public Storage,72880,116,1.59,1,100,Not Available,91344,2017,Self-Storage Facility,2.5,7.1,116,2.4,6.8,1985
16620 STAGG ST,4.12E+11,43,COMPLIED,-49.5,-49.5,85,No,Not Available,Not Available,Prologis,79744,Not Available,Not Available,1,100,Not Available,91406,2017,Distribution Center,7.1,22.3,183.3,7.1,22.3,2000
4020 MARLTON AVE,4.59E+11,308.2,COMPLIED,125.1,125.1,Not Available,No,Not Available,Not Available,"Cinemark Holdings, Inc.",65956,1202.1,18.23,1,100,Not Available,90008,2017,Movie Theater,62.1,191.6,1202.1,62.1,191.6,2013
11805 W SHELDON ST,4.43E+11,19,COMPLIED,-37.4,-37.4,84,No,Not Available,Not Available,Los Angeles Department of Water and Power,7500,Not Available,Not Available,1,100,Not Available,91352,2017,Office,33.4,104.8,148.8,30.1,94.7,1990
12215 VICTORY BLVD,4.41E+11,242.8,COMPLIED,-61.6,-61.6,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",98000,1065.2,10.87,1,100,Not Available,91606,2017,College/University,33.1,100.9,1065.2,33.1,100.9,1958
8301 S VERMONT AVE,4.73E+11,170.6,COMPLIED,6,6,40,No,Not Available,Not Available,Vermont Knoll Retirement Community llc,66740,Not Available,Not Available,1,95,Not Available,90044,2017,Multifamily Housing,38.7,86.9,2159.6,39.1,87.3,1990
5700 W CENTINELA AVE,4.46E+11,244.8,COMPLIED,27.7,27.7,11,Non,Not Available,Not Available,AUM,60165,Not Available,Not Available,1,95,Not Available,90045,2017,Immeuble �?logements multiples,64.6,126.3,2927.5,67.3,129.1,2000
11818 RIVERSIDE DR,4.43E+11,307.5,COMPLIED,13.8,13.8,30,No,Not Available,Not Available,"Vert Energy Group, Inc.",96280,Not Available,Not Available,1,100,Not Available,91607,2017,Multifamily Housing,49.6,103.6,5166,49.6,103.6,1987
3460 W 7TH ST,4.70E+11,203.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"CIM Group, LP",143000,Not Available,Not Available,1,95,Not Available,90005,2017,Multifamily Housing,26.1,30.6,5249.3,Not Available,Not Available,1965
10933 ROCHESTER AVE,4.27E+11,77.4,COMPLIED,-68,-68,100,No,Not Available,Not Available,SCG,69760,Not Available,Not Available,1,100,Not Available,90024,2017,Multifamily Housing,19.6,26.7,3700.6,19.8,27.2,1985
1776 N LAS PALMAS AVE,4.60E+11,,NOT COMPLIED,,,,,,,,,,,,,,90028,,,,,,,,
1729 WALL ST,4.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
3740 W SANTA ROSALIA DR,4.59E+11,,NOT COMPLIED,,,,,,,,,,,,,,90008,,,,,,,,
2326 JAMES M WOOD BLVD,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90006,,,,,,,,
645 W 9TH ST,4.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,90017,,,,,,,,
1315 E 21ST ST,4.85E+11,,NOT COMPLIED,,,,,,,,,,,,,,90011,,,,,,,,
505 S BONNIE BRAE ST,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90057,,,,,,,,
6628 SEPULVEDA BLVD,4.21E+11,,NOT COMPLIED,,,,,,,,,,,,,,91411,,,,,,,,
1888 CENTURY PARK EAST,4.36E+11,,NOT COMPLIED,,,,,,,,,,,,,,90067,,,,,,,,
1888 CENTURY PARK EAST,4.36E+11,,NOT COMPLIED,,,,,,,,,,,,,,90067,,,,,,,,
8966 COMANCHE AVE,3.89E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
15208 W VENTURA BLVD,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,91403,,,,,,,,
605 W OLYMPIC BLVD,4.82E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
605 W OLYMPIC BLVD,4.82E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
656 S LOS ANGELES ST,4.86E+11,,NOT COMPLIED,,,,,,,,,,,,,,90014,,,,,,,,
886 HILGARD AVE,4.28E+11,,NOT COMPLIED,,,,,,,,,,,,,,90024,,,,,,,,
6301 W 3RD ST,4.53E+11,,NOT COMPLIED,,,,,,,,,,,,,,90036,,,,,,,,
10950 W BLOOMFIELD ST,4.50E+11,,NOT COMPLIED,,,,,,,,,,,,,,91602,,,,,,,,
701 STONE CANYON RD,4.26E+11,,NOT COMPLIED,,,,,,,,,,,,,,90077,,,,,,,,
111 THE GROVE DR,T00000000151,,NOT COMPLIED,,,,,,,,,,,,,,90036,,,,,,,,
21551 PRAIRIE ST,3.80E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
2221 LINCOLN PARK AVE,5.00E+11,,NOT COMPLIED,,,,,,,,,,,,,,90031,,,,,,,,
3210 W ADAMS BLVD,4.65E+11,,NOT COMPLIED,,,,,,,,,,,,,,90018,,,,,,,,
3518 CAHUENGA BLVD WEST,4.54E+11,,NOT COMPLIED,,,,,,,,,,,,,,90068,,,,,,,,
12220 W HAMLIN ST,4.41E+11,,NOT COMPLIED,,,,,,,,,,,,,,91606,,,,,,,,
450 S WESTERN AVE,4.68E+11,,NOT COMPLIED,,,,,,,,,,,,,,90020,,,,,,,,
21220 VANOWEN ST,3.82E+11,,NOT COMPLIED,,,,,,,,,,,,,,91303,,,,,,,,
19344 WYANDOTTE ST,3.94E+11,,NOT COMPLIED,,,,,,,,,,,,,,91335,,,,,,,,
401 S ARDMORE AVE,4.70E+11,,NOT COMPLIED,,,,,,,,,,,,,,90020,,,,,,,,
3150 N SAN FERNANDO RD,4.86E+11,,NOT COMPLIED,,,,,,,,,,,,,,90065,,,,,,,,
3150 N SAN FERNANDO RD,4.86E+11,,NOT COMPLIED,,,,,,,,,,,,,,90065,,,,,,,,
17141 VENTURA BLVD,4.08E+11,,NOT COMPLIED,,,,,,,,,,,,,,91316,,,,,,,,
633 S WESTERN AVE,4.68E+11,,NOT COMPLIED,,,,,,,,,,,,,,90005,,,,,,,,
311 S GRAMERCY PL,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90020,,,,,,,,
5089 W SAN FERNANDO RD,4.79E+11,,NOT COMPLIED,,,,,,,,,,,,,,90039,,,,,,,,
7140 W SUNSET BLVD,4.57E+11,,NOT COMPLIED,,,,,,,,,,,,,,90046,,,,,,,,
7140 W SUNSET BLVD,4.57E+11,,NOT COMPLIED,,,,,,,,,,,,,,90046,,,,,,,,
20245 SUNBURST ST,3.88E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
3826 GRAND VIEW BLVD,4.31E+11,,NOT COMPLIED,,,,,,,,,,,,,,90066,,,,,,,,
6600 AVALON BLVD,4.81E+11,,NOT COMPLIED,,,,,,,,,,,,,,90001,,,,,,,,
7100 S ALVERN ST,4.47E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
7055 LENNOX AVE,4.27E+11,,NOT COMPLIED,,,,,,,,,,,,,,91405,,,,,,,,
745 S BROADWAY,4.85E+11,,NOT COMPLIED,,,,,,,,,,,,,,90014,,,,,,,,
250 E 1ST ST,4.89E+11,,NOT COMPLIED,,,,,,,,,,,,,,90012,,,,,,,,
250 E 1ST ST,4.89E+11,,NOT COMPLIED,,,,,,,,,,,,,,90012,,,,,,,,
255 W 7TH ST,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90731,,,,,,,,
1717 S FIGUEROA ST,4.79E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
611 W REDONDO BEACH BLVD,4.75E+11,,NOT COMPLIED,,,,,,,,,,,,,,90247,,,,,,,,
611 W REDONDO BEACH BLVD,4.75E+11,,NOT COMPLIED,,,,,,,,,,,,,,90247,,,,,,,,
8525 TOBIAS AVE,4.25E+11,,NOT COMPLIED,,,,,,,,,,,,,,91402,,,,,,,,
13100 TELFAIR AVE,4.18E+11,,NOT COMPLIED,,,,,,,,,,,,,,91342,,,,,,,,
1344 N HOBART BLVD,4.69E+11,,NOT COMPLIED,,,,,,,,,,,,,,90027,,,,,,,,
11556 W BURBANK BLVD,4.45E+11,,NOT COMPLIED,,,,,,,,,,,,,,91601,,,,,,,,
17320 BURBANK BLVD,4.07E+11,,NOT COMPLIED,,,,,,,,,,,,,,91316,,,,,,,,
1700 S SAWTELLE BLVD,4.26E+11,,NOT COMPLIED,,,,,,,,,,,,,,90025,,,,,,,,
1338 E 6TH ST,4.90E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
1338 E 6TH ST,4.90E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
650 S AVENUE 21,4.96E+11,,NOT COMPLIED,,,,,,,,,,,,,,90031,,,,,,,,
615 S MANHATTAN PL,4.68E+11,,NOT COMPLIED,,,,,,,,,,,,,,90005,,,,,,,,
615 S MANHATTAN PL,4.68E+11,,NOT COMPLIED,,,,,,,,,,,,,,90005,,,,,,,,
1627 N VINE ST,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90028,,,,,,,,
9171 OSO AVE,3.88E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
421 E 6TH ST,4.87E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
421 E 6TH ST,4.87E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
10830 W PICO BLVD,4.32E+11,,NOT COMPLIED,,,,,,,,,,,,,,90064,,,,,,,,
1333 N CURSON AVE,4.54E+11,,NOT COMPLIED,,,,,,,,,,,,,,90046,,,,,,,,
2535 W OLYMPIC BLVD,4.75E+11,,NOT COMPLIED,,,,,,,,,,,,,,90006,,,,,,,,
11419 N PORTER RANCH DR,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,91326,,,,,,,,
1312 E 7TH ST,4.88E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
1312 E 7TH ST,4.88E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
4644 N COLDWATER CANYON AVE,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,91604,,,,,,,,
1603 S SAN PEDRO ST,4.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
9821 OWENSMOUTH AVE,3.80E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
6020 S SEABLUFF DR,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90094,,,,,,,,
15853 W MONTE ST,4.18E+11,,NOT COMPLIED,,,,,,,,,,,,,,91342,,,,,,,,
1318 S ROXBURY DR,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90035,,,,,,,,
120 N ROBERTSON BLVD,4.46E+11,,NOT COMPLIED,,,,,,,,,,,,,,90048,,,,,,,,
545 S SAN PEDRO ST,4.87E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
545 S SAN PEDRO ST,4.87E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
18855 VICTORY BLVD,3.97E+11,,NOT COMPLIED,,,,,,,,,,,,,,91335,,,,,,,,
2000 E 8TH ST,4.90E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
2000 E 8TH ST,4.90E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
1745 WILCOX AVE,4.61E+11,,NOT COMPLIED,,,,,,,,,,,,,,90028,,,,,,,,
18315 VENTURA BLVD,4.01E+11,,NOT COMPLIED,,,,,,,,,,,,,,91356,,,,,,,,
4201 W SUNSET BLVD,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90029,,,,,,,,
1015 N KINGSLEY DR,4.70E+11,,NOT COMPLIED,,,,,,,,,,,,,,90029,,,,,,,,
8999 BALBOA BLVD,4.09E+11,,NOT COMPLIED,,,,,,,,,,,,,,91325,,,,,,,,
8999 BALBOA BLVD,4.09E+11,,NOT COMPLIED,,,,,,,,,,,,,,91325,,,,,,,,
15101 S FIGUEROA ST,4.75E+11,,NOT COMPLIED,,,,,,,,,,,,,,90248,,,,,,,,
711 N BROADWAY,4.89E+11,,NOT COMPLIED,,,,,,,,,,,,,,90012,,,,,,,,
3201 SAWTELLE BLVD,4.32E+11,,NOT COMPLIED,,,,,,,,,,,,,,90066,,,,,,,,
11558 TENNESSEE AVE,4.27E+11,,NOT COMPLIED,,,,,,,,,,,,,,90064,,,,,,,,
11657 OXNARD ST,4.45E+11,,NOT COMPLIED,,,,,,,,,,,,,,91606,,,,,,,,
600 S RIDGELEY DR,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90036,,,,,,,,
459 COLYTON ST,4.90E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
3348 WILSHIRE BLVD,4.72E+11,,NOT COMPLIED,,,,,,,,,,,,,,90010,,,,,,,,
18455 S FIGUEROA ST,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90248,,,,,,,,
18455 S FIGUEROA ST,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90248,,,,,,,,
1200 WILSHIRE BLVD,4.81E+11,,NOT COMPLIED,,,,,,,,,,,,,,90017,,,,,,,,
1439 N POINSETTIA PL,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90046,,,,,,,,
6700 AVALON BLVD,4.82E+11,,NOT COMPLIED,,,,,,,,,,,,,,90001,,,,,,,,
6151 W CENTURY BLVD,4.43E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
6151 W CENTURY BLVD,4.43E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
13043 FOOTHILL BLVD,4.35E+11,,NOT COMPLIED,,,,,,,,,,,,,,91342,,,,,,,,
369 E FIRST ST,4.89E+11,,NOT COMPLIED,,,,,,,,,,,,,,90012,,,,,,,,
4707 VENICE BLVD,4.59E+11,,NOT COMPLIED,,,,,,,,,,,,,,90019,,,,,,,,
13434 SATICOY ST,4.33E+11,,NOT COMPLIED,,,,,,,,,,,,,,91605,,,,,,,,
784 S SAN PEDRO ST,4.86E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
5345 SEPULVEDA BLVD,4.20E+11,,NOT COMPLIED,,,,,,,,,,,,,,91411,,,,,,,,
325 W ADAMS BLVD,4.79E+11,,NOT COMPLIED,,,,,,,,,,,,,,90007,,,,,,,,
8235 N VENTURA CANYON AVE,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,91402,,,,,,,,
1355 S FLOWER ST,3899,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
3400 CAHUENGA BLVD WEST,4.55E+11,,NOT COMPLIED,,,,,,,,,,,,,,90068,,,,,,,,
19401 BUSINESS CENTER DR,3.94E+11,,NOT COMPLIED,,,,,,,,,,,,,,91324,,,,,,,,
16700 ROSCOE BLVD,4.11E+11,,NOT COMPLIED,,,,,,,,,,,,,,91406,,,,,,,,
15365 MAGNOLIA BLVD,4.20E+11,,NOT COMPLIED,,,,,,,,,,,,,,91403,,,,,,,,
7800 AIRPORT BUSINESS PKWY,4.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,91406,,,,,,,,
810 S SPRING ST,4.85E+11,,NOT COMPLIED,,,,,,,,,,,,,,90014,,,,,,,,
1015 S GLENDON AVE,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90024,,,,,,,,
3933 WILSHIRE BLVD,4.67E+11,,NOT COMPLIED,,,,,,,,,,,,,,90010,,,,,,,,
331 S FIGUEROA ST,4.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,90071,,,,,,,,
331 S FIGUEROA ST,4.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,90071,,,,,,,,
5760 ARBOR VITAE ST,4.46E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
836 N CAHUENGA BLVD,4.62E+11,,NOT COMPLIED,,,,,,,,,,,,,,90038,,,,,,,,
14800 S FIGUEROA ST,4.76E+11,,NOT COMPLIED,,,,,,,,,,,,,,90248,,,,,,,,
6200 WILSHIRE BLVD,4.52E+11,,NOT COMPLIED,,,,,,,,,,,,,,90048,,,,,,,,
6200 WILSHIRE BLVD,4.52E+11,,NOT COMPLIED,,,,,,,,,,,,,,90048,,,,,,,,
474 N FARING RD,4.31E+11,,NOT COMPLIED,,,,,,,,,,,,,,90077,,,,,,,,
12731 W JEFFERSON BLVD,4.35E+11,,NOT COMPLIED,,,,,,,,,,,,,,90066,,,,,,,,
20961 KNAPP ST,3.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
17821 LASSEN ST,4.04E+11,,NOT COMPLIED,,,,,,,,,,,,,,91325,,,,,,,,
12511 W MOORPARK ST,4.39E+11,,NOT COMPLIED,,,,,,,,,,,,,,91604,,,,,,,,
20800 LASSEN ST,3.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,91311,,,,,,,,
1745 N GRAMERCY PL,4.67E+11,,NOT COMPLIED,,,,,,,,,,,,,,90028,,,,,,,,
6920 VAN NUYS BLVD,4.26E+11,,NOT COMPLIED,,,,,,,,,,,,,,91405,,,,,,,,
2465 E 16TH ST,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
21120 VANOWEN ST,3.82E+11,,NOT COMPLIED,,,,,,,,,,,,,,91303,,,,,,,,
4002 N MISSION RD,5.02E+11,,NOT COMPLIED,,,,,,,,,,,,,,90031,,,,,,,,
312 W AVENUE 37,4.97E+11,,NOT COMPLIED,,,,,,,,,,,,,,90065,,,,,,,,
2115 N GAFFEY ST,4.72E+11,,NOT COMPLIED,,,,,,,,,,,,,,90731,,,,,,,,
4733 HASKELL AVE NO 27,4.18E+11,,NOT COMPLIED,,,,,,,,,,,,,,91436,,,,,,,,
1240 S MAIN ST,4.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
1240 S MAIN ST,4.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
11945 W MAGNOLIA BLVD,4.43E+11,,NOT COMPLIED,,,,,,,,,,,,,,91607,,,,,,,,
5900 CENTER DR,4.44E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
7345 MEDICAL CENTER DR,3.71E+11,,NOT COMPLIED,,,,,,,,,,,,,,91307,,,,,,,,
429 S MAIN ST,4.86E+11,,NOT COMPLIED,,,,,,,,,,,,,,90013,,,,,,,,
515 S FIGUEROA ST,4.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,90071,,,,,,,,
757 S FLOWER ST,4.83E+11,,NOT COMPLIED,,,,,,,,,,,,,,90017,,,,,,,,
1016 N MISSION RD,4.96E+11,,NOT COMPLIED,,,,,,,,,,,,,,90033,,,,,,,,
620 E 111TH PL,4.81E+11,,NOT COMPLIED,,,,,,,,,,,,,,90059,,,,,,,,
1632 N LAUREL AVE APT 0110,4.51E+11,,NOT COMPLIED,,,,,,,,,,,,,,90046,,,,,,,,
11351 DRONFIELD AVE,4.40E+11,,NOT COMPLIED,,,,,,,,,,,,,,91331,,,,,,,,
1200 S GRAND AVE,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90015,,,,,,,,
18251 NAPA ST,4.01E+11,,NOT COMPLIED,,,,,,,,,,,,,,91325,,,,,,,,
6100 TOPANGA CANYON BLVD,3.79E+11,,NOT COMPLIED,,,,,,,,,,,,,,91367,,,,,,,,
5151 WILSHIRE BLVD,4.58E+11,,NOT COMPLIED,,,,,,,,,,,,,,90036,,,,,,,,
5151 WILSHIRE BLVD,4.58E+11,,NOT COMPLIED,,,,,,,,,,,,,,90036,,,,,,,,
5101 S BROADWAY,4.77E+11,,NOT COMPLIED,,,,,,,,,,,,,,90037,,,,,,,,
6400 LAUREL CANYON BLVD,4.42E+11,,NOT COMPLIED,,,,,,,,,,,,,,91606,,,,,,,,
920 E PACIFIC COAST HWY,4.85E+11,,NOT COMPLIED,,,,,,,,,,,,,,90744,,,,,,,,
920 E PACIFIC COAST HWY,4.85E+11,,NOT COMPLIED,,,,,,,,,,,,,,90744,,,,,,,,
11150 W SANTA MONICA BLVD,4.27E+11,,NOT COMPLIED,,,,,,,,,,,,,,90025,,,,,,,,
643 S OLIVE ST,4.84E+11,,NOT COMPLIED,,,,,,,,,,,,,,90014,,,,,,,,
1451 W KNOX ST,4.70E+11,,NOT COMPLIED,,,,,,,,,,,,,,90501,,,,,,,,
1451 W KNOX ST,4.70E+11,,NOT COMPLIED,,,,,,,,,,,,,,90501,,,,,,,,
6920 VAN NUYS BLVD,4.26E+11,,NOT COMPLIED,,,,,,,,,,,,,,91405,,,,,,,,
621 S WESTERN AVE,4.68E+11,,NOT COMPLIED,,,,,,,,,,,,,,90005,,,,,,,,
14318 VENTURA BLVD,4.27E+11,,NOT COMPLIED,,,,,,,,,,,,,,91423,,,,,,,,
6241 S CRESCENT PARK,4.32E+11,,NOT COMPLIED,,,,,,,,,,,,,,90094,,,,,,,,
6555 W BARTON AVE,1.12E+11,,NOT COMPLIED,,,,,,,,,,,,,,90038,,,,,,,,
2101 E 7TH ST,4.92E+11,,NOT COMPLIED,,,,,,,,,,,,,,90021,,,,,,,,
1943 RODNEY DR,4.74E+11,,NOT COMPLIED,,,,,,,,,,,,,,90027,,,,,,,,
718 E COMMERCIAL ST,4.91E+11,,NOT COMPLIED,,,,,,,,,,,,,,90012,,,,,,,,
7590 N GLENOAKS BLVD,4.58E+11,,NOT COMPLIED,,,,,,,,,,,,,,91504,,,,,,,,
1200 S CLUB VIEW DR,4.33E+11,,NOT COMPLIED,,,,,,,,,,,,,,90024,,,,,,,,
5432 W 102ND ST,4.48E+11,,NOT COMPLIED,,,,,,,,,,,,,,90045,,,,,,,,
3055 WILSHIRE BLVD,4.74E+11,,NOT COMPLIED,,,,,,,,,,,,,,90010,,,,,,,,
3055 WILSHIRE BLVD,4.74E+11,,NOT COMPLIED,,,,,,,,,,,,,,90010,,,,,,,,
